label,quote
0,children  christian or otherwise  deserve to hear the full story of jonahs despair  in all its agonizing  catch22 glory  even if they spend years trying to comprehend it 
1,what lies behind you and what lies in front of you pales in comparison to what lies inside you
0,none of this socalled satire has any sting to it  as if woody is afraid of biting the hand that has finally  to some extent  warmed up to him 
1,compassion is the sometimes fatal capacity for feeling what it is like to live inside somebody elses skin its the knowledge that there can never really be any peace and joy for me until there is peace and joy finally for you too
0,like all abstract art  the film does not make this statement in an easily accessible way  and  unless prewarned  it would be very possible for a reasonably intelligent person to sit through its tidal wave of imagery and not get this vision at all 
0,the pretensions  and disposable story  sink the movie  and diesel isnt the actor to save it 
1,if you become a helper of hearts springs of wisdom will flow from your heart
0,not a cheap slasher flick  as the subject matter would suggest  but is a little like a nature film  showing a patient predator and his foolish prey 
1,an ounce of practice is generally worth more than a ton of theory
0,there are moments of real pleasure to be found in sara sugarmans whimsical comedy very anniemary but not enough to sustain the film 
1,when you come to the edge of all that you know you must believe one of two things either there will be ground to stand on or you will be given wings to fly
0,forages for audience sympathy like a temperamental child begging for attention  giving audiences no reason to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining 
0,witless and utterly pointless 
1,call it a clan call it a network call it a tribe call it a family whatever you call it whoever you are you need one
1,the only place success comes before work is in the dictionary
1,love is not only something you feel it is something you do
1,if you want others to be happy practice compassion if you want to be happy practice compassion
1,there is nobility in compassion a beauty in empathy a grace in forgiveness
0,bartletts hero remains a reactive cipher  when opening the mans head and heart is the only imaginable reason for the film to be made 
0,it gets old quickly  watch barbershop again if youre in need of a cube fixthis isnt worth sitting through 
1,knowledge comes from learning wisdom comes from living
0,it is too bad that this likable movie isnt more accomplished  the actors try hard but come off too amateurish and awkward 
0,here  common sense flies out the window  along with the hail of bullets  none of which ever seem to hit sascha 
0,this is the kind of movie that you only need to watch for about thirty seconds before you say to yourself  ah  yes  here we have a bad  bad  bad movie  
0,cox is far more concerned with aggrandizing madness  not the man  and the results might drive you crazy 
1,dont count the days make the days count
0,the gazillionth airhead movie about a wife in distress who resorts to desperate measures 
1,i have never met a person whose greatest need was anything other than real unconditional love you can find it in a simple act of kindness toward someone who needs help there is no mistaking loveit is the common fiber of life the flame that heats our soul energizes our spirit and supplies passion to our lives
1,hardships often prepare ordinary people for an extraordinary destiny
1,sometimes you will never know the value of a moment until it becomes a memory
