quote,category,category_encoded
a generous heart kind speech and a life of service and compassion are the things which renew humanity,stewardship,104
education breeds confidence,confidence,18
a smile is a curve that sets everything straight,smile,100
it is not joy that makes us grateful it is gratitude that makes us joyful,gratitude,45
we say things will turn out but no its what we do that actually creates the future,stewardship,104
for beautiful eyes look for the good in others for beautiful lips speak only words of kindness and for poise walk with the knowledge that you are never alone,true beauty,108
compassion is not a relationship between the healer and the wounded its a relationship between equals only when we know our own darkness well can we be present with the darkness of others compassion becomes real when we recognize our shared humanity,compassion,16
for the strength of the pack is the wolf and the strength of the wolf is the pack,unity,110
theres not a word yet for old friends whove just met,friendship,39
empathy is about finding echoes of another person in yourself,empathy,32
promise yourself to be just as enthusiastic about the success of others as you are about your own,encouragement,33
if i take care of my character my reputation will take care of itself,character,9
where there is unity there is always victory,unity,110
may you always be blessed with walls for the wind a roof for the rain a warm cup of tea by the fire laughter to cheer you those you love near you and all that your heart might desire,cheer,11
the most powerful efficient energy source in the world is your own mind explore and discover that it can make creative fuel from anything,creativity,22
leadership is a twoway street respect for ones superiors care for ones crew,leadership,64
the privilege of a lifetime is being who you are,confidence,18
i have found that among its other benefits giving liberates the soul of the giver,giving back,43
volunteering is at the very core of being a human no one has made it through life without someone elses help,volunteering,112
i can live for two months on a good compliment,compliments,17
knowing trees i understand the meaning of patience knowing grass i can appreciate persistence,persistence,84
ive been absolutely terrified every moment of my life and ive never let it keep me from doing a single thing that i wanted to do,spread your wings,103
life is a great and wondrous mystery and the only thing we know that we have for sure is what is right here right now dont miss it,live life,68
wherever there is a human in need there is an opportunity for kindness and to make a difference,giving,42
we dont beat the grim reaper by living longer we beat the reaper by living well and living fully for the reaper will come for all of us the question is what do we do between the time we are born and the time he shows up,purpose,89
adopt the pace of nature her secret is patience,patience,81
the person who makes a success of living is the one who sees his goal steadily and aims for it unswervingly that is dedication,dedication,24
the most creative act you will ever undertake is the act of creating yourself,creativity,22
peace like charity begins at home,peace,82
sometimes you will never know the value of a moment until it becomes a memory,appreciation,4
things turn out best for the people who make the best of the way things turn out,motivation,75
happiness lies in the joy of achievement and the thrill of creative effort,creativity,22
for each new morning with its light for rest and shelter of the night for health and food for love and friends for everything thy goodness sends,gratitude,45
and in the end its not the years in your life that count its the life in your years,live life,68
rivers know this there is no hurry we shall get there some day,patience,81
gratitude unlocks the fullness of life it turns what we have into enough and more,gratitude,45
the essence of life is not in the great victories and grand failures but in the simple joys,joy,60
there are no mistakes in life only lessons there is no such thing as a negative experience only opportunities to grow learn and advance along the road of selfmastery,learning,65
give your hands to serve and your hearts to love,service,98
forgive yourself for your faults and your mistakes and move on,forgiveness,38
ah kindness what a simple way to tell another struggling soul that there is love to be found in the world,kindness,62
i have found that if you love life life will love you back,live life,68
great things come from hard work and perseverance no excuses,perseverance,83
you can kiss your family and friends goodbye and put miles between you but at the same time you carry them with you in your heart your mind your stomach because you do not just live in a world but a world lives in you,family,36
loyalty and devotion lead to bravery bravery leads to the spirit of selfsacrifice the spirit of selfsacrifice creates trust in the power of love,loyalty,71
for to be free is not merely to cast off ones chains but to live in a way that respects and enhances the freedom of others,respect,92
a river cuts through rock not because of its power but because of its persistence,persistence,84
